symptoms,disease
"runny or stuffy nose, slight body aches, mild headache, sneezing, cough, low-grade fever",Common Cold
"loss of appetite, measured high fever",Viral Fever
"elevated blood cholesterol, puffy face, slowed heart rate, thinning hair, weight gain, hoarseness, dry skin, muscle aches, depression, impaired memory, tenderness and stiffness, constipation, fatigue, muscle weakness",Hypothyroidism
"diarrhea, anemia, muscle pain, fever with shaking chills, headache, vomiting, sweating, nausea, abdominal pain",Malaria
"runny or stuffy nose, cough, sore throat, sneezing, malaise, low-grade fever",Common Cold
fatigue,Typhoid
"pain, stiffness or swelling in your joints, thinning hair, increased sensitivity to cold, slowed heart rate, tenderness and stiffness",Hypothyroidism
"anemia, vomiting, nausea, diarrhea, sweating",Malaria
"chest pain, weakness, fatigue, irregular heartbeats, cold hands and feet, headache, pale or yellowish skin, dizziness or lightheadedness, shortness of breath",Anemia
"elevated blood cholesterol, depression, muscle weakness, hoarseness, weight gain",Hypothyroidism
"headache, sweating, fatigue, rash, abdominal pain, loss of appetite, diarrhea or constipation, weight loss, dry cough, muscle ache, weakness, prolonged fever",Typhoid
"pain behind eyes, fatigue, severe headache, severe joint and muscle pain, vomiting",Dengue
"loss of appetite, measured high fever, chills, weakness, body ache, fatigue",Viral Fever
"mild headache, runny or stuffy nose, sore throat, sneezing, slight body aches, low-grade fever, cough",Common Cold
"hoarseness, puffy face, dry skin, thinning hair, elevated blood cholesterol, impaired memory, pain, stiffness or swelling in your joints, heavy or irregular menstrual periods, tenderness and stiffness, depression, weight gain, muscle aches, constipation, increased sensitivity to cold, slowed heart rate, fatigue, muscle weakness",Hypothyroidism
"weakness, fatigue, irregular heartbeats, shortness of breath, pale or yellowish skin, dizziness or lightheadedness, cold hands and feet",Anemia
"blurred vision, numbness or tingling in the hands or feet, areas of darkened skin, frequent urination, fatigue",Diabetes Type 2
"chills, headache, loss of appetite, measured high fever, fatigue, weakness, body ache",Viral Fever
"mild headache, sore throat, cough, congestion",Common Cold
"anemia, nausea, fever with shaking chills, sweating, diarrhea, vomiting",Malaria
"anemia, abdominal pain, headache",Malaria
"shortness of breath, dizziness or lightheadedness, pale or yellowish skin, chest pain, weakness, headache, fatigue, cold hands and feet",Anemia
"body ache, fatigue",Viral Fever
"blurred vision, areas of darkened skin",Diabetes Type 2
"fatigue, muscle aches, weight gain, heavy or irregular menstrual periods, hoarseness, increased sensitivity to cold, tenderness and stiffness, slowed heart rate",Hypothyroidism
"weakness, irregular heartbeats, cold hands and feet, chest pain, pale or yellowish skin, headache, fatigue, shortness of breath",Anemia
sudden high fever,Dengue
"sore throat, slight body aches",Common Cold
"increased sensitivity to cold, pain, stiffness or swelling in your joints",Hypothyroidism
"thinning hair, tenderness and stiffness, increased sensitivity to cold, impaired memory, weight gain, depression, elevated blood cholesterol, muscle weakness, heavy or irregular menstrual periods, muscle aches, slowed heart rate, puffy face, dry skin, pain, stiffness or swelling in your joints, hoarseness",Hypothyroidism
"cold hands and feet, fatigue, shortness of breath, headache, irregular heartbeats, pale or yellowish skin",Anemia
"increased thirst, frequent infections, unintended weight loss, increased hunger, slow-healing sores, fatigue, numbness or tingling in the hands or feet",Diabetes Type 2
"congestion, cough",Common Cold
"mild bleeding, nausea, skin rash, severe joint and muscle pain, sudden high fever, vomiting, pain behind eyes, fatigue, severe headache",Dengue
"weakness, dizziness or lightheadedness, shortness of breath, headache, irregular heartbeats",Anemia
"mild headache, congestion, slight body aches, malaise, sore throat",Common Cold
"diarrhea, anemia, muscle pain",Malaria
"headache, weight loss",Typhoid
"malaise, sore throat, mild headache, slight body aches",Common Cold
"frequent urination, slow-healing sores, numbness or tingling in the hands or feet, unintended weight loss, increased thirst, fatigue, increased hunger, areas of darkened skin, frequent infections",Diabetes Type 2
"sore throat, slight body aches",Common Cold
"increased sensitivity to cold, impaired memory, pain, stiffness or swelling in your joints, fatigue, thinning hair, dry skin, hoarseness, puffy face",Hypothyroidism
"sore throat, mild headache, slight body aches",Common Cold
"chills, weakness, fatigue, measured high fever, headache, body ache, loss of appetite",Viral Fever
"unintended weight loss, slow-healing sores, frequent urination, fatigue, blurred vision",Diabetes Type 2
"muscle weakness, depression, pain, stiffness or swelling in your joints, puffy face, weight gain, dry skin, slowed heart rate, tenderness and stiffness, muscle aches, constipation, thinning hair",Hypothyroidism
severe joint and muscle pain,Dengue
"tenderness and stiffness, muscle aches, dry skin, slowed heart rate, depression, weight gain, puffy face, hoarseness",Hypothyroidism
"chills, headache, body ache, measured high fever, loss of appetite",Viral Fever
"sweating, nausea, vomiting, abdominal pain, headache, fever with shaking chills",Malaria
"measured high fever, chills, headache",Viral Fever
"increased thirst, slow-healing sores, frequent infections, increased hunger, unintended weight loss, frequent urination, fatigue, areas of darkened skin",Diabetes Type 2
"low-grade fever, cough, malaise, slight body aches, sore throat, sneezing",Common Cold
"numbness or tingling in the hands or feet, frequent infections, unintended weight loss, blurred vision, areas of darkened skin, increased thirst, slow-healing sores, fatigue, frequent urination, increased hunger",Diabetes Type 2
slight body aches,Common Cold
"sudden high fever, fatigue, pain behind eyes, mild bleeding, severe headache, vomiting, skin rash",Dengue
"increased sensitivity to cold, hoarseness, muscle weakness, fatigue, muscle aches, puffy face, slowed heart rate, dry skin, heavy or irregular menstrual periods, pain, stiffness or swelling in your joints, tenderness and stiffness, weight gain, constipation",Hypothyroidism
"unintended weight loss, increased hunger, frequent infections, frequent urination, slow-healing sores",Diabetes Type 2
"cough, low-grade fever, slight body aches, runny or stuffy nose, sneezing, congestion, malaise, sore throat",Common Cold
fatigue,Diabetes Type 2
"sweating, dry cough, weight loss, fatigue",Typhoid
"weakness, fatigue, cold hands and feet, chest pain",Anemia
"numbness or tingling in the hands or feet, fatigue, increased hunger",Diabetes Type 2
"measured high fever, loss of appetite, chills, headache, weakness, fatigue, body ache",Viral Fever
malaise,Common Cold
"prolonged fever, headache, weight loss, loss of appetite, abdominal pain",Typhoid
measured high fever,Viral Fever
"malaise, congestion, mild headache, runny or stuffy nose",Common Cold
"headache, cold hands and feet, fatigue",Anemia
"severe joint and muscle pain, pain behind eyes, vomiting, severe headache, mild bleeding",Dengue
"weakness, irregular heartbeats, shortness of breath, cold hands and feet, headache, fatigue, pale or yellowish skin, chest pain, dizziness or lightheadedness",Anemia
"weakness, prolonged fever, fatigue, loss of appetite, rash, headache, weight loss, muscle ache, dry cough, sweating, abdominal pain",Typhoid
"weakness, headache",Viral Fever
"sneezing, mild headache",Common Cold
"slowed heart rate, constipation, elevated blood cholesterol, dry skin, tenderness and stiffness, thinning hair, weight gain, fatigue, muscle weakness, hoarseness, impaired memory, pain, stiffness or swelling in your joints, depression, increased sensitivity to cold, puffy face, heavy or irregular menstrual periods, muscle aches",Hypothyroidism
"weight loss, muscle ache, fatigue",Typhoid
body ache,Viral Fever
"increased thirst, numbness or tingling in the hands or feet, areas of darkened skin, blurred vision, slow-healing sores, unintended weight loss, frequent urination, frequent infections, fatigue",Diabetes Type 2
"muscle pain, abdominal pain, anemia, sweating",Malaria
"vomiting, muscle pain, nausea, fever with shaking chills, diarrhea, anemia",Malaria
"headache, vomiting, anemia, fever with shaking chills, nausea, muscle pain, diarrhea, sweating",Malaria
"dizziness or lightheadedness, pale or yellowish skin, weakness, chest pain",Anemia
"fatigue, dizziness or lightheadedness, irregular heartbeats, weakness, cold hands and feet, pale or yellowish skin, shortness of breath, headache, chest pain",Anemia
"hoarseness, dry skin, puffy face, fatigue, thinning hair, depression, heavy or irregular menstrual periods, muscle weakness, tenderness and stiffness, muscle aches, pain, stiffness or swelling in your joints, increased sensitivity to cold, weight gain, elevated blood cholesterol, slowed heart rate",Hypothyroidism
"frequent infections, areas of darkened skin, increased hunger, slow-healing sores, unintended weight loss, numbness or tingling in the hands or feet, increased thirst",Diabetes Type 2
headache,Viral Fever
"congestion, runny or stuffy nose, sore throat, low-grade fever",Common Cold
"weakness, headache",Viral Fever
"nausea, severe headache, fatigue, severe joint and muscle pain, skin rash, sudden high fever, pain behind eyes, mild bleeding, vomiting",Dengue
"weight gain, fatigue, depression, puffy face, hoarseness, dry skin, muscle weakness, tenderness and stiffness, impaired memory",Hypothyroidism
"anemia, muscle pain, nausea, fever with shaking chills, headache, abdominal pain, vomiting, diarrhea, sweating",Malaria
"nausea, vomiting, fever with shaking chills, muscle pain",Malaria
"frequent infections, fatigue, numbness or tingling in the hands or feet, blurred vision, slow-healing sores, frequent urination, unintended weight loss",Diabetes Type 2
"abdominal pain, diarrhea, anemia, muscle pain, headache, fever with shaking chills, sweating, nausea, vomiting",Malaria
"constipation, depression, slowed heart rate, tenderness and stiffness, thinning hair, hoarseness, dry skin, pain, stiffness or swelling in your joints",Hypothyroidism
"weakness, fatigue, measured high fever, chills, body ache, loss of appetite",Viral Fever
runny or stuffy nose,Common Cold
"numbness or tingling in the hands or feet, blurred vision, frequent urination, frequent infections",Diabetes Type 2
"mild bleeding, severe joint and muscle pain, vomiting, severe headache",Dengue
"dizziness or lightheadedness, irregular heartbeats, pale or yellowish skin, headache, fatigue, shortness of breath",Anemia
"frequent urination, fatigue, areas of darkened skin, blurred vision, numbness or tingling in the hands or feet, unintended weight loss, frequent infections, increased hunger",Diabetes Type 2
"fatigue, frequent infections, numbness or tingling in the hands or feet, areas of darkened skin, slow-healing sores",Diabetes Type 2
"low-grade fever, cough, slight body aches, sneezing, malaise, runny or stuffy nose, congestion",Common Cold
"slow-healing sores, unintended weight loss, increased thirst, blurred vision, areas of darkened skin, increased hunger, numbness or tingling in the hands or feet",Diabetes Type 2
"severe joint and muscle pain, severe headache, vomiting, fatigue",Dengue
runny or stuffy nose,Common Cold
"weakness, chest pain, cold hands and feet, dizziness or lightheadedness",Anemia
vomiting,Dengue
"abdominal pain, muscle pain",Malaria
"shortness of breath, irregular heartbeats, chest pain, weakness, dizziness or lightheadedness",Anemia
"rash, prolonged fever, dry cough, abdominal pain, weakness, sweating, diarrhea or constipation",Typhoid
"areas of darkened skin, frequent infections, blurred vision, frequent urination",Diabetes Type 2
"cough, runny or stuffy nose, sneezing, mild headache, congestion, sore throat",Common Cold
"slow-healing sores, blurred vision, numbness or tingling in the hands or feet, areas of darkened skin, increased thirst, unintended weight loss, frequent urination, fatigue, frequent infections",Diabetes Type 2
"anemia, nausea, sweating",Malaria
"sore throat, slight body aches, malaise, runny or stuffy nose, low-grade fever, sneezing, congestion",Common Cold
"fatigue, mild bleeding, nausea",Dengue
"headache, loss of appetite, dry cough, weakness, muscle ache, abdominal pain, rash, fatigue",Typhoid
"measured high fever, chills, loss of appetite, fatigue, headache, weakness, body ache",Viral Fever
"nausea, sweating, muscle pain",Malaria
weakness,Viral Fever
"fatigue, puffy face, dry skin, impaired memory, tenderness and stiffness, thinning hair, slowed heart rate",Hypothyroidism
"severe joint and muscle pain, mild bleeding, fatigue, vomiting",Dengue
"muscle weakness, constipation, depression, thinning hair, puffy face, weight gain",Hypothyroidism
"sore throat, cough",Common Cold
"fever with shaking chills, abdominal pain, sweating, muscle pain, nausea",Malaria
"areas of darkened skin, fatigue, numbness or tingling in the hands or feet, unintended weight loss, increased thirst, blurred vision",Diabetes Type 2
"vomiting, mild bleeding, sudden high fever, severe joint and muscle pain",Dengue
"constipation, elevated blood cholesterol, impaired memory, dry skin, pain, stiffness or swelling in your joints, muscle aches, fatigue, weight gain, tenderness and stiffness, thinning hair, heavy or irregular menstrual periods, slowed heart rate",Hypothyroidism
loss of appetite,Viral Fever
rash,Typhoid
"severe headache, severe joint and muscle pain, nausea, vomiting, fatigue, skin rash, pain behind eyes",Dengue
sweating,Typhoid
"fatigue, weakness, body ache, chills, loss of appetite, headache",Viral Fever
dizziness or lightheadedness,Anemia
"fatigue, severe joint and muscle pain, mild bleeding, pain behind eyes, nausea, severe headache, skin rash, vomiting, sudden high fever",Dengue
"blurred vision, unintended weight loss, fatigue, increased hunger, frequent infections, frequent urination, areas of darkened skin, slow-healing sores",Diabetes Type 2
"vomiting, skin rash",Dengue
"increased thirst, increased hunger, fatigue, unintended weight loss, blurred vision, frequent urination, areas of darkened skin, slow-healing sores",Diabetes Type 2
"rash, diarrhea or constipation, muscle ache",Typhoid
"diarrhea or constipation, headache, rash, weakness, prolonged fever, muscle ache, sweating, loss of appetite, fatigue, weight loss, abdominal pain",Typhoid
"sore throat, low-grade fever, mild headache, malaise, slight body aches, sneezing, congestion",Common Cold
"areas of darkened skin, unintended weight loss, frequent urination, frequent infections, numbness or tingling in the hands or feet, increased hunger, increased thirst, blurred vision, fatigue",Diabetes Type 2
"mild bleeding, severe joint and muscle pain, nausea, fatigue, severe headache",Dengue
"shortness of breath, pale or yellowish skin, irregular heartbeats, chest pain, cold hands and feet, dizziness or lightheadedness, headache, fatigue",Anemia
"numbness or tingling in the hands or feet, increased thirst, unintended weight loss, blurred vision, increased hunger, slow-healing sores, fatigue",Diabetes Type 2
"sudden high fever, severe headache",Dengue
"muscle pain, vomiting, headache, sweating, fever with shaking chills, anemia, nausea, abdominal pain, diarrhea",Malaria
"cough, congestion, low-grade fever, slight body aches, sore throat, malaise, sneezing, runny or stuffy nose",Common Cold
"sudden high fever, severe headache, pain behind eyes, severe joint and muscle pain, skin rash, fatigue, mild bleeding, nausea, vomiting",Dengue
"mild bleeding, severe joint and muscle pain, pain behind eyes, fatigue",Dengue
"pale or yellowish skin, shortness of breath, chest pain, cold hands and feet, dizziness or lightheadedness, weakness",Anemia
"low-grade fever, slight body aches, mild headache, malaise, sneezing, congestion, cough, runny or stuffy nose, sore throat",Common Cold
"chest pain, headache, shortness of breath, dizziness or lightheadedness, weakness, pale or yellowish skin, fatigue, irregular heartbeats",Anemia
"tenderness and stiffness, fatigue, thinning hair, increased sensitivity to cold, pain, stiffness or swelling in your joints, depression, slowed heart rate",Hypothyroidism
"blurred vision, increased thirst, slow-healing sores, increased hunger, frequent infections, unintended weight loss",Diabetes Type 2
"fatigue, rash, abdominal pain, sweating, weight loss, loss of appetite, dry cough",Typhoid
severe headache,Dengue
sweating,Malaria
"pale or yellowish skin, irregular heartbeats, chest pain, headache, dizziness or lightheadedness, fatigue, weakness",Anemia
"headache, nausea, diarrhea, sweating, vomiting, anemia, abdominal pain, fever with shaking chills",Malaria
"shortness of breath, cold hands and feet, irregular heartbeats, dizziness or lightheadedness, chest pain, pale or yellowish skin, headache, weakness",Anemia
"unintended weight loss, increased thirst, areas of darkened skin, fatigue, frequent infections",Diabetes Type 2
"areas of darkened skin, slow-healing sores, frequent infections",Diabetes Type 2
"fever with shaking chills, nausea, anemia, diarrhea, headache",Malaria
"muscle pain, headache",Malaria
vomiting,Dengue
"muscle ache, fatigue, weakness, prolonged fever, dry cough",Typhoid
headache,Anemia
"slow-healing sores, fatigue, frequent urination, numbness or tingling in the hands or feet, areas of darkened skin, blurred vision, frequent infections",Diabetes Type 2
"blurred vision, frequent infections, increased hunger, fatigue, areas of darkened skin, unintended weight loss, increased thirst, slow-healing sores",Diabetes Type 2
"depression, dry skin, pain, stiffness or swelling in your joints, muscle aches, hoarseness, elevated blood cholesterol, slowed heart rate, muscle weakness",Hypothyroidism
"tenderness and stiffness, hoarseness",Hypothyroidism
"fever with shaking chills, nausea, anemia",Malaria
"chills, loss of appetite, headache, measured high fever, body ache, weakness",Viral Fever
"abdominal pain, fever with shaking chills, nausea, headache, diarrhea, sweating",Malaria
"hoarseness, pain, stiffness or swelling in your joints, muscle aches, depression, dry skin, slowed heart rate, constipation, fatigue, elevated blood cholesterol, weight gain, puffy face, thinning hair, tenderness and stiffness, muscle weakness, heavy or irregular menstrual periods, increased sensitivity to cold",Hypothyroidism
"headache, nausea",Malaria
mild headache,Common Cold
"sore throat, congestion, low-grade fever, malaise, runny or stuffy nose, cough, mild headache, sneezing, slight body aches",Common Cold
"impaired memory, constipation, weight gain, puffy face, muscle weakness, slowed heart rate, hoarseness, heavy or irregular menstrual periods, fatigue, dry skin, increased sensitivity to cold, elevated blood cholesterol",Hypothyroidism
"numbness or tingling in the hands or feet, blurred vision, frequent urination",Diabetes Type 2
"mild headache, low-grade fever, malaise, sore throat",Common Cold
"slow-healing sores, fatigue, areas of darkened skin, increased thirst, numbness or tingling in the hands or feet, blurred vision, frequent urination, frequent infections, increased hunger",Diabetes Type 2
"chest pain, shortness of breath, dizziness or lightheadedness, fatigue, irregular heartbeats",Anemia
"frequent infections, blurred vision, areas of darkened skin, increased thirst, fatigue",Diabetes Type 2
"cold hands and feet, pale or yellowish skin",Anemia
"nausea, vomiting, anemia, fever with shaking chills, headache, abdominal pain, muscle pain, diarrhea, sweating",Malaria
"runny or stuffy nose, congestion, slight body aches, malaise",Common Cold
"weight loss, headache, diarrhea or constipation, loss of appetite",Typhoid
"severe headache, mild bleeding, fatigue, sudden high fever, skin rash, vomiting",Dengue
"nausea, fatigue, severe joint and muscle pain, sudden high fever, mild bleeding",Dengue
"congestion, sneezing, malaise",Common Cold
"fatigue, blurred vision, frequent infections",Diabetes Type 2
"dizziness or lightheadedness, pale or yellowish skin, shortness of breath, cold hands and feet, irregular heartbeats, weakness, fatigue, chest pain",Anemia
"pain behind eyes, nausea, sudden high fever, mild bleeding, skin rash, fatigue, severe headache, severe joint and muscle pain, vomiting",Dengue
"muscle pain, anemia, diarrhea, sweating, nausea, fever with shaking chills, headache",Malaria
"shortness of breath, cold hands and feet, pale or yellowish skin",Anemia
fatigue,Dengue
"blurred vision, increased thirst, unintended weight loss, fatigue, increased hunger, slow-healing sores, areas of darkened skin",Diabetes Type 2
chills,Viral Fever
"mild headache, slight body aches, malaise, sneezing",Common Cold
mild bleeding,Dengue
"thinning hair, muscle weakness, impaired memory, slowed heart rate, heavy or irregular menstrual periods, depression, increased sensitivity to cold, pain, stiffness or swelling in your joints, puffy face, hoarseness, weight gain, fatigue, constipation, dry skin, tenderness and stiffness, muscle aches",Hypothyroidism
"sudden high fever, severe joint and muscle pain, pain behind eyes, skin rash, mild bleeding, severe headache, nausea, fatigue, vomiting",Dengue
abdominal pain,Typhoid
"increased hunger, areas of darkened skin, blurred vision, fatigue",Diabetes Type 2
"numbness or tingling in the hands or feet, fatigue, unintended weight loss, increased thirst, frequent infections, increased hunger, blurred vision, frequent urination",Diabetes Type 2
"skin rash, severe joint and muscle pain, nausea, severe headache, sudden high fever, pain behind eyes, mild bleeding",Dengue
"low-grade fever, sore throat, runny or stuffy nose, mild headache, sneezing",Common Cold
"dizziness or lightheadedness, headache",Anemia
"weakness, headache, chills, measured high fever, body ache, loss of appetite, fatigue",Viral Fever
"vomiting, skin rash, nausea, severe joint and muscle pain, severe headache, pain behind eyes",Dengue
"slight body aches, low-grade fever, sneezing, mild headache, malaise, runny or stuffy nose, cough, sore throat",Common Cold
"low-grade fever, runny or stuffy nose, slight body aches, malaise, cough, sore throat, sneezing, mild headache, congestion",Common Cold
"abdominal pain, prolonged fever, diarrhea or constipation, headache, sweating, weight loss, loss of appetite, fatigue",Typhoid
"blurred vision, areas of darkened skin, increased hunger, numbness or tingling in the hands or feet, unintended weight loss",Diabetes Type 2
"fever with shaking chills, sweating, vomiting, nausea, anemia, headache, abdominal pain",Malaria
